"","X_supres.total","Y_cat_q_total","W_bapq_center","Z_bgd_total","CV1_age","CV2_race","CV3_ses"
"85",-7.13829787234043,79,-0.318576388888889,0.57862,22,5,2
"86",-11.1382978723404,63,-0.374131944444445,0,24,1,1
"87",-4.13829787234043,92,-0.457465277777778,0.63986,21,1,1
"88",0.861702127659573,129,-0.513020833333333,0,24,8,3
"89",-8.13829787234043,65,-0.957465277777778,0,29,1,2
"90",6.86170212765957,161,1.43142361111111,0.60332,21,5,3
"91",1.86170212765957,107,-0.374131944444445,0.79476,38,9,3
"92",-3.13829787234043,121,0.486979166666667,0.53612,20,1,2
"93",-0.138297872340427,104,-0.485243055555556,0.72797,24,4,3
"94",-9.13829787234043,76,-0.707465277777778,0.756,28,7,3
